assay_id,split,transformer,nbits,estimator,preprocessor,accuracy,balanced_accuracy,roc_auc,fit_seconds,predict_seconds
651741,1,"neighborhood(radius=(0, 2))",14,linear_logistic,none,0.7333333333333333,0.7333333333333334,0.8086222222222221,34.485614719000296,22.090324214001157
651741,2,"neighborhood(radius=(0, 2))",14,linear_logistic,none,0.7433333333333333,0.7433333333333334,0.7860666666666666,26.129776331003086,21.880312924000464
651741,3,"neighborhood(radius=(0, 2))",14,linear_logistic,none,0.76,0.76,0.8203999999999999,31.25598463100323,26.233663684997737
651741,1,"neighborhood(radius=(0, 2))",14,linear_logistic,svd,0.7766666666666666,0.7766666666666666,0.8301333333333333,39.35566834600104,31.867378634997294
651741,2,"neighborhood(radius=(0, 2))",14,linear_logistic,svd,0.7466666666666667,0.7466666666666666,0.8006888888888888,44.607191982002405,36.601744730000064
651741,3,"neighborhood(radius=(0, 2))",14,linear_logistic,svd,0.7933333333333333,0.7933333333333333,0.8534666666666667,54.87959192999915,43.77724321500136
651741,1,"neighborhood(radius=(0, 2))",14,linear_logistic,rhopca,0.7033333333333334,0.7033333333333334,0.7670666666666667,1575.5557820089998,23.143090326000674
651741,2,"neighborhood(radius=(0, 2))",14,linear_logistic,rhopca,0.68,0.6799999999999999,0.7496666666666667,658.7047272579985,19.462350541998603
651741,3,"neighborhood(radius=(0, 2))",14,linear_logistic,rhopca,0.69,0.69,0.7525777777777778,655.4090309089988,22.055635812001128
651741,1,"neighborhood(radius=(0, 2))",14,random_forest,none,0.8133333333333334,0.8133333333333334,0.8823333333333333,21.278355692000332,16.80593111499911
651741,2,"neighborhood(radius=(0, 2))",14,random_forest,none,0.78,0.78,0.8698666666666667,22.49532892500065,17.349210334999952
651741,3,"neighborhood(radius=(0, 2))",14,random_forest,none,0.8166666666666667,0.8166666666666667,0.8988444444444444,23.979944743998203,17.908425829999032
651741,1,"neighborhood(radius=(0, 2))",14,random_forest,svd,0.77,0.77,0.8203333333333332,25.537450163003086,18.216081373000634
651741,2,"neighborhood(radius=(0, 2))",14,random_forest,svd,0.7766666666666666,0.7766666666666666,0.808711111111111,25.298187865999353,17.69224203200065
651741,3,"neighborhood(radius=(0, 2))",14,random_forest,svd,0.7833333333333333,0.7833333333333333,0.8447333333333336,25.66362127499815,18.927180590999342
651741,1,"neighborhood(radius=(0, 2))",14,random_forest,rhopca,0.7166666666666667,0.7166666666666667,0.8054666666666667,649.3635522619988,27.326312643002893
651741,2,"neighborhood(radius=(0, 2))",14,random_forest,rhopca,0.6733333333333333,0.6733333333333333,0.7809777777777778,630.8930650519978,24.821977763000177
651741,3,"neighborhood(radius=(0, 2))",14,random_forest,rhopca,0.69,0.69,0.8031111111111111,1858.6381797879985,29.937678124999366
651741,1,"neighborhood(radius=(0, 2))",14,rbf_svm,none,0.8233333333333334,0.8233333333333333,0.893511111111111,28.120315975000267,29.13654682899869
651741,2,"neighborhood(radius=(0, 2))",14,rbf_svm,none,0.8,0.8,0.8642444444444445,25.34251990499979,29.307320289000927
651741,3,"neighborhood(radius=(0, 2))",14,rbf_svm,none,0.85,0.8500000000000001,0.9115555555555556,31.307131087000016,31.919294354996964
651741,1,"neighborhood(radius=(0, 2))",14,rbf_svm,svd,0.8066666666666666,0.8066666666666666,0.8770222222222221,26.630861855999683,20.717900558996917
651741,2,"neighborhood(radius=(0, 2))",14,rbf_svm,svd,0.7966666666666666,0.7966666666666666,0.8527777777777777,26.80154351999954,20.05389136099984
651741,3,"neighborhood(radius=(0, 2))",14,rbf_svm,svd,0.8133333333333334,0.8133333333333334,0.8993333333333333,27.47261715899731,20.211540010001045
651741,1,"neighborhood(radius=(0, 2))",14,rbf_svm,rhopca,0.7533333333333333,0.7533333333333334,0.8183555555555557,659.0480488719986,28.090279079002357
651741,2,"neighborhood(radius=(0, 2))",14,rbf_svm,rhopca,0.7166666666666667,0.7166666666666666,0.7766888888888889,631.542372584001,24.56031706200156
651741,3,"neighborhood(radius=(0, 2))",14,rbf_svm,rhopca,0.74,0.74,0.7891555555555555,636.3638982199991,26.323573321002186
