dataset_idx,assay_id,df,roc_auc,roc_auc_std,elapsed,accuracy
1,2631,cycle,0.7474240129146044,0.029390503214427932,10.325620889663696,0.7522522522522522
1,2631,graphlet,0.7949552326904478,0.009681864083745828,55.02404427528381,0.7927927927927928
1,2631,pairs,0.7888200844854072,0.0150105606758833,152.73278558254242,0.7972972972972973
1,2631,neighborhood,0.7583978707970643,0.0289005162997098,12.29460084438324,0.8063063063063063
2,463230,cycle,0.8117958143642512,0.004837495764534072,90.84774851799011,0.7523076923076923
2,463230,graphlet,0.8218424880296162,0.008077238736829917,269.32754385471344,0.7715384615384615
2,463230,pairs,0.8329619553695431,0.004919831960773724,804.6097728013992,0.77
2,463230,neighborhood,0.8344804220241029,0.0016891324313426659,93.75502371788025,0.7684615384615385
3,492952,cycle,0.7885809446572395,0.007300603183994947,84.02643144130707,0.7300435413642961
3,492952,graphlet,0.8136669405664556,0.00494874759010594,213.31218886375427,0.7387518142235123
3,492952,pairs,0.8188047997171749,0.005241130711734043,626.3685666322708,0.7481857764876633
3,492952,neighborhood,0.8112106239820285,0.012737544311044624,108.92270421981812,0.7380261248185777
4,588350,cycle,0.7587708147074814,0.0014571767823696735,88.27885818481445,0.7383928571428571
4,588350,graphlet,0.7945398552590439,0.0070097968598683,342.95945513248444,0.7508928571428571
4,588350,pairs,0.7759533109804344,0.019127477933371495,671.471813082695,0.7508928571428571
4,588350,neighborhood,0.7901294303009286,0.014554026659568176,76.14331758022308,0.7473214285714286
5,624249,cycle,0.7281548611460125,0.00513054503658994,16.20698308944702,0.7389937106918238
5,624249,graphlet,0.7325576901225639,0.0028844378429285777,88.16496908664703,0.720125786163522
5,624249,pairs,0.7808559598832268,0.022972221281403027,323.35189473629,0.7452830188679245
5,624249,neighborhood,0.7525296958956731,0.012028176138834279,35.3043258190155,0.7547169811320755
6,651741,cycle,0.7462881885644268,0.002348794625032735,74.53084087371826,0.7494305239179955
6,651741,graphlet,0.8213347883255702,0.0035289099933759616,185.07958781719208,0.7733485193621867
6,651741,pairs,0.829888707405207,0.003721015448041376,252.02798128128052,0.7904328018223234
6,651741,neighborhood,0.8432605899325573,0.004142007470040121,56.258339524269104,0.7756264236902051
